Ct,a
0.760725, 0.195347
0.760756, 0.195369
0.760786, 0.195390
0.760814, 0.195410
0.760840, 0.195429
0.760864, 0.195446
0.760887, 0.195463
0.760909, 0.195478
0.760930, 0.195493
0.760949, 0.195507
0.760967, 0.195520
0.760984, 0.195532
0.761000, 0.195543
0.761015, 0.195554
0.761029, 0.195564
0.761043, 0.195574
0.761055, 0.195583
0.761067, 0.195591
0.761078, 0.195599
0.761089, 0.195607
0.761098, 0.195614
0.761108, 0.195620
0.761116, 0.195627
0.761125, 0.195632
0.761132, 0.195638
0.761140, 0.195643
0.761146, 0.195648
0.761153, 0.195653
0.761159, 0.195657
0.761165, 0.195661
0.761170, 0.195665
0.761175, 0.195669
0.761180, 0.195672
0.761184, 0.195675
0.761188, 0.195678
0.761192, 0.195681
0.761196, 0.195684
0.761199, 0.195686
0.761203, 0.195689
0.761206, 0.195691
0.761209, 0.195693
0.761211, 0.195695
0.650835, 0.295350
0.652493, 0.294060
0.654123, 0.292675
0.655721, 0.291208
0.657298, 0.289655
0.658860, 0.288018
0.660409, 0.286299
0.661948, 0.284499
0.663480, 0.282619
0.665007, 0.280660
0.666533, 0.278623
0.668059, 0.276507
0.669588, 0.274315
0.671122, 0.272045
0.672664, 0.269699
0.674215, 0.267277
0.675778, 0.264780
0.677353, 0.262208
0.678943, 0.259564
0.680550, 0.256850
0.682174, 0.254068
0.683817, 0.251221
0.685481, 0.248313
0.687159, 0.245361
0.688847, 0.242381
0.690513, 0.239439
0.692197, 0.236467
0.693901, 0.233475
0.695624, 0.230471
0.697362, 0.227473
0.699113, 0.224493
0.700880, 0.221535
0.702662, 0.218611
0.704458, 0.215733
0.706266, 0.212917
0.708084, 0.210174
0.709909, 0.207519
0.711732, 0.204973
0.713524, 0.202581
0.715312, 0.200311
0.717085, 0.198180
0.718843, 0.196194
0.720552, 0.194385
0.722243, 0.192718
0.723913, 0.191197
0.725558, 0.189821
0.727176, 0.188589
0.728764, 0.187500
0.730312, 0.186551
0.731821, 0.185735
0.733293, 0.185044
0.734721, 0.184471
0.736104, 0.184008
0.737445, 0.183645
0.738742, 0.183373
0.739995, 0.183184
0.741203, 0.183069
0.742363, 0.183020
0.743474, 0.183030
0.744540, 0.183089
0.745556, 0.183190
0.746529, 0.183328
0.747460, 0.183496
0.748348, 0.183689
0.749194, 0.183901
0.749994, 0.184128
0.750754, 0.184365
0.751477, 0.184611
0.752165, 0.184862
0.752819, 0.185117
0.753439, 0.185373
0.754026, 0.185626
0.754582, 0.185877
0.755111, 0.186126
0.755614, 0.186370
0.756090, 0.186609
0.756541, 0.186841
0.756967, 0.187067
0.757371, 0.187286
0.757752, 0.187497
0.758113, 0.187700
0.758453, 0.187896
0.758775, 0.188083
0.759079, 0.188263
0.759366, 0.188436
0.759637, 0.188600
0.759893, 0.188757
0.760134, 0.188907
0.760362, 0.189050
0.760576, 0.189186
0.760779, 0.189315
0.760970, 0.189438
0.761150, 0.189555
0.761319, 0.189665
0.761479, 0.189770
0.761630, 0.189870
0.761772, 0.189964
0.761905, 0.190053
