name,CT,Ctprime,Ctprime_LES,Cp,Cp_LES,ud_LES,ud,ud_stderr,a_LES,a,a_stderr,M,shear,veer,veer_deg,shear_m_s,shear_format,veer_format
shear_03_veer_07_ctp_04,0.89670000,2.11854416,1.89028314,0.58338061,0.61760005,0.68874769,0.65058617,0.00003167,0.31125231,0.34941383,0.00003167,0.94459288,0.00000000,0.14960000,29.92000000,0.00000000,0.00,0.15
shear_03_veer_07_ctp_05,0.96670000,2.73775545,2.36554019,0.57443415,0.61797714,0.63926466,0.59422174,0.00008118,0.36073534,0.40577826,0.00008118,0.92953948,0.00000000,0.14960000,29.92000000,0.00000000,0.00,0.15
shear_03_veer_08_ctp_00,0.61670000,0.96900850,0.91903277,0.49197964,0.50517916,0.81916517,0.79776170,0.00000133,0.18083483,0.20223830,0.00000133,0.97387161,0.00000000,0.19950000,39.90000000,0.00000000,0.00,0.20
shear_03_veer_08_ctp_01,0.68670000,1.17011799,1.09783146,0.52606056,0.54310367,0.79088928,0.76607042,0.00000201,0.20911072,0.23392958,0.00000201,0.96861905,0.00000000,0.19950000,39.90000000,0.00000000,0.00,0.20
shear_03_veer_08_ctp_02,0.75670000,1.41818719,1.31304648,0.55273736,0.57444116,0.75913990,0.73045773,0.00000419,0.24086010,0.26954227,0.00000419,0.96221754,0.00000000,0.19950000,39.90000000,0.00000000,0.00,0.20
shear_03_veer_08_ctp_03,0.82670000,1.73827932,1.58230590,0.57011455,0.59755335,0.72281764,0.68962689,0.00000785,0.27718236,0.31037311,0.00000785,0.95408143,0.00000000,0.19950000,39.90000000,0.00000000,0.00,0.20
shear_03_veer_08_ctp_04,0.89670000,2.18070531,1.93943567,0.57500585,0.60972368,0.67996396,0.64124663,0.00003123,0.32003604,0.35875337,0.00003123,0.94305973,0.00000000,0.19950000,39.90000000,0.00000000,0.00,0.20
shear_03_veer_08_ctp_05,0.96670000,2.85192042,2.44976666,0.56281916,0.60726076,0.62817912,0.58220664,0.00007983,0.37182088,0.41779336,0.00007983,0.92681629,0.00000000,0.19950000,39.90000000,0.00000000,0.00,0.20
shear_04_veer_04_ctp_00,0.61670000,0.93521653,0.88860219,0.50078906,0.51375639,0.83307343,0.81204648,0.00000009,0.16692657,0.18795352,0.00000009,0.97475978,0.28500000,0.00000000,0.00000000,1.99500000,0.01,0.00
shear_04_veer_04_ctp_01,0.68670000,1.11970694,1.05338099,0.53777225,0.55444419,0.80740379,0.78312545,0.00000027,0.19259621,0.21687455,0.00000027,0.96993036,0.28500000,0.00000000,0.00000000,1.99500000,0.01,0.00
shear_04_veer_04_ctp_02,0.75670000,1.34242274,1.24793175,0.56812114,0.58923724,0.77869332,0.75078782,0.00000105,0.22130668,0.24921218,0.00000105,0.96416368,0.28500000,0.00000000,0.00000000,1.99500000,0.01,0.00
shear_04_veer_04_ctp_03,0.82670000,1.62619693,1.48908516,0.58943421,0.61597366,0.74509938,0.71299650,0.00000267,0.25490062,0.28700350,0.00000267,0.95691464,0.28500000,0.00000000,0.00000000,1.99500000,0.01,0.00
shear_04_veer_04_ctp_04,0.89670000,2.02285948,1.81397544,0.59701865,0.63045639,0.70308508,0.66579530,0.00003428,0.29691492,0.33420470,0.00003428,0.94696264,0.28500000,0.00000000,0.00000000,1.99500000,0.01,0.00
shear_04_veer_04_ctp_05,0.96670000,2.68199935,2.32402954,0.58037439,0.62347172,0.64494850,0.60036660,0.00028870,0.35505150,0.39963340,0.00028870,0.93087526,0.28500000,0.00000000,0.00000000,1.99500000,0.01,0.00
shear_04_veer_05_ctp_00,0.61670000,0.93896655,0.89198473,0.49978804,0.51278134,0.83149236,0.81042329,0.00000034,0.16850764,0.18957671,0.00000034,0.97466114,0.28500000,0.04990000,9.98000000,1.99500000,0.01,0.05
shear_04_veer_05_ctp_01,0.68670000,1.12560223,1.05859185,0.53636212,0.55307789,0.80541414,0.78107197,0.00000055,0.19458586,0.21892803,0.00000055,0.96977682,0.28500000,0.04990000,9.98000000,1.99500000,0.01,0.05
shear_04_veer_05_ctp_02,0.75670000,1.35194816,1.25614778,0.56611620,0.58730708,0.77614256,0.74813823,0.00000117,0.22385744,0.25186177,0.00000117,0.96391857,0.28500000,0.04990000,9.98000000,1.99500000,0.01,0.05
shear_04_veer_05_ctp_03,0.82670000,1.64210809,1.50238783,0.58657161,0.61324057,0.74179336,0.70953382,0.00000330,0.25820664,0.29046618,0.00000330,0.95651142,0.28500000,0.04990000,9.98000000,1.99500000,0.01,0.05
shear_04_veer_05_ctp_04,0.89670000,2.05346857,1.83847171,0.59255235,0.62624213,0.69838533,0.66081449,0.00003105,0.30161467,0.33918551,0.00003105,0.94620327,0.28500000,0.04990000,9.98000000,1.99500000,0.01,0.05
shear_04_veer_05_ctp_05,0.96670000,2.76943560,2.38901592,0.57113917,0.61493336,0.63611603,0.59081325,0.00016681,0.36388397,0.40918675,0.00016681,0.92878221,0.28500000,0.04990000,9.98000000,1.99500000,0.01,0.05
shear_04_veer_06_ctp_00,0.61670000,0.94850987,0.90058662,0.49726741,0.51032657,0.82751186,0.80633599,0.00000092,0.17248814,0.19366401,0.00000092,0.97441019,0.28500000,0.09970000,19.94000000,1.99500000,0.01,0.10
shear_04_veer_06_ctp_01,0.68670000,1.14057328,1.07180976,0.53283037,0.54965694,0.80043242,0.77592890,0.00000136,0.19956758,0.22407110,0.00000136,0.96938715,0.28500000,0.09970000,19.94000000,1.99500000,0.01,0.10
shear_04_veer_06_ctp_02,0.75670000,1.37605210,1.27690030,0.56113604,0.58251499,0.76980969,0.74155681,0.00000227,0.23019031,0.25844319,0.00000227,0.96329888,0.28500000,0.09970000,19.94000000,1.99500000,0.01,0.10
shear_04_veer_06_ctp_03,0.82670000,1.68245691,1.53601908,0.57949532,0.60648994,0.73362760,0.70097414,0.00000539,0.26637240,0.29902586,0.00000539,0.95549040,0.28500000,0.09970000,19.94000000,1.99500000,0.01,0.10
shear_04_veer_06_ctp_04,0.89670000,2.12817625,1.89792109,0.58205893,0.61635607,0.68736040,0.64911222,0.00003978,0.31263960,0.35088778,0.00003978,0.94435499,0.28500000,0.09970000,19.94000000,1.99500000,0.01,0.10
shear_04_veer_06_ctp_05,0.96670000,2.92490013,2.50307137,0.55575331,0.60075993,0.62145437,0.57489739,0.00022410,0.37854563,0.42510261,0.00022410,0.92508384,0.28500000,0.09970000,19.94000000,1.99500000,0.01,0.10
shear_04_veer_07_ctp_00,0.61670000,0.95986875,0.91081327,0.49431637,0.50745350,0.82285308,0.80155079,0.00000175,0.17714692,0.19844921,0.00000175,0.97411167,0.28500000,0.14960000,29.92000000,1.99500000,0.01,0.15
shear_04_veer_07_ctp_01,0.68670000,1.15824857,1.08738746,0.52874915,0.54570560,0.79467832,0.76998566,0.00000265,0.20532168,0.23001434,0.00000265,0.96892748,0.28500000,0.14960000,29.92000000,1.99500000,0.01,0.15
shear_04_veer_07_ctp_02,0.75670000,1.40409924,1.30097937,0.55550337,0.57709910,0.76265244,0.73411308,0.00000497,0.23734756,0.26588692,0.00000497,0.96257882,0.28500000,0.14960000,29.92000000,1.99500000,0.01,0.15
shear_04_veer_07_ctp_03,0.82670000,1.72823810,1.57400056,0.57176836,0.59912779,0.72472214,0.69162739,0.00001094,0.27527786,0.30837261,0.00001094,0.95433457,0.28500000,0.14960000,29.92000000,1.99500000,0.01,0.15
shear_04_veer_07_ctp_04,0.89670000,2.20992532,1.96242717,0.57119179,0.60614145,0.67596905,0.63699319,0.00003644,0.32403095,0.36300681,0.00003644,0.94234076,0.28500000,0.14960000,29.92000000,1.99500000,0.01,0.15
shear_04_veer_07_ctp_05,0.96670000,3.08156482,2.61610454,0.54144198,0.58763821,0.60788064,0.56009308,0.00017820,0.39211936,0.43990692,0.00017820,0.92138660,0.28500000,0.14960000,29.92000000,1.99500000,0.01,0.15
shear_04_veer_08_ctp_00,0.61670000,0.97008705,0.92000218,0.49170607,0.50491293,0.81873347,0.79731810,0.00000376,0.18126653,0.20268190,0.00000376,0.97384329,0.28500000,0.19950000,39.90000000,1.99500000,0.01,0.20
shear_04_veer_08_ctp_01,0.68670000,1.17403896,1.10127859,0.52518138,0.54225301,0.78965052,0.76479012,0.00000466,0.21034948,0.23520988,0.00000466,0.96851721,0.28500000,0.19950000,39.90000000,1.99500000,0.01,0.20
shear_04_veer_08_ctp_02,0.75670000,1.42904735,1.32233620,0.55063307,0.57241981,0.75646863,0.72767685,0.00000836,0.24353137,0.27232315,0.00000836,0.96193923,0.28500000,0.19950000,39.90000000,1.99500000,0.01,0.20
shear_04_veer_08_ctp_03,0.82670000,1.76794297,1.60678874,0.56531145,0.59298337,0.71728968,0.68381692,0.00001627,0.28271032,0.31618308,0.00001627,0.95333440,0.28500000,0.19950000,39.90000000,1.99500000,0.01,0.20
shear_04_veer_08_ctp_04,0.89670000,2.26531145,2.00580909,0.56416585,0.59955076,0.66861911,0.62915786,0.00005649,0.33138089,0.37084214,0.00005649,0.94098096,0.28500000,0.19950000,39.90000000,1.99500000,0.01,0.20
shear_04_veer_08_ctp_05,0.96670000,3.15685384,2.66975601,0.53494649,0.58170365,0.60174165,0.55337384,0.00014641,0.39825835,0.44662616,0.00014641,0.91962030,0.28500000,0.19950000,39.90000000,1.99500000,0.01,0.20
shear_05_veer_04_ctp_00,0.61670000,0.93023645,0.88410798,0.50212778,0.51506053,0.83518814,0.81421725,0.00000021,0.16481186,0.18578275,0.00000021,0.97489081,0.57000000,0.00000000,0.00000000,3.99000000,0.02,0.00
shear_05_veer_04_ctp_01,0.68670000,1.12073069,1.05428612,0.53752657,0.55420613,0.80705713,0.78276769,0.00000789,0.19294287,0.21723231,0.00000789,0.96990369,0.57000000,0.00000000,0.00000000,3.99000000,0.02,0.00
shear_05_veer_04_ctp_02,0.75670000,1.37211957,1.27351826,0.56193958,0.58328796,0.77083119,0.74261871,0.00005570,0.22916881,0.25738129,0.00005570,0.96339993,0.57000000,0.00000000,0.00000000,3.99000000,0.02,0.00
shear_05_veer_04_ctp_03,0.82670000,1.76843575,1.60719478,0.56523268,0.59290846,0.71719906,0.68372164,0.00048242,0.28280094,0.31627836,0.00048242,0.95332200,0.57000000,0.00000000,0.00000000,3.99000000,0.02,0.00
shear_05_veer_04_ctp_04,0.89670000,2.19567030,1.95121979,0.57304297,0.60787973,0.67790758,0.63905762,0.00054865,0.32209242,0.36094238,0.00054865,0.94269137,0.57000000,0.00000000,0.00000000,3.99000000,0.02,0.00
shear_05_veer_04_ctp_05,0.96670000,3.08631559,2.61950273,0.54102510,0.58725693,0.60748622,0.55966184,0.00121454,0.39251378,0.44033816,0.00121454,0.92127495,0.57000000,0.00000000,0.00000000,3.99000000,0.02,0.00
shear_05_veer_05_ctp_00,0.61670000,0.93514378,0.88853655,0.50080854,0.51377536,0.83310420,0.81207806,0.00000078,0.16689580,0.18792194,0.00000078,0.97476169,0.57000000,0.04990000,9.98000000,3.99000000,0.02,0.05
shear_05_veer_05_ctp_01,0.68670000,1.12918641,1.06175828,0.53551020,0.55225257,0.80421227,0.77983137,0.00000453,0.19578773,0.22016863,0.00000453,0.96968350,0.57000000,0.04990000,9.98000000,3.99000000,0.02,0.05
shear_05_veer_05_ctp_02,0.75670000,1.39062750,1.28942276,0.55818761,0.57967949,0.76606250,0.73766038,0.00004862,0.23393750,0.26233962,0.00004862,0.96292455,0.57000000,0.04990000,9.98000000,3.99000000,0.02,0.05
shear_05_veer_05_ctp_03,0.82670000,1.80282053,1.63547443,0.55981645,0.58776000,0.71097133,0.67717002,0.00033226,0.28902867,0.32282998,0.00033226,0.95245756,0.57000000,0.04990000,9.98000000,3.99000000,0.02,0.05
shear_05_veer_05_ctp_04,0.89670000,2.26080530,2.00228925,0.56472781,0.60007750,0.66920654,0.62978455,0.00053743,0.33079346,0.37021545,0.00053743,0.94109145,0.57000000,0.04990000,9.98000000,3.99000000,0.02,0.05
shear_05_veer_05_ctp_05,0.96670000,3.16285521,2.67401410,0.53443873,0.58124032,0.60126235,0.55284859,0.00151288,0.39873765,0.44715141,0.00151288,0.91947980,0.57000000,0.04990000,9.98000000,3.99000000,0.02,0.05
shear_05_veer_06_ctp_00,0.61670000,0.94733005,0.89952367,0.49757696,0.51062800,0.82800065,0.80683795,0.00000299,0.17199935,0.19316205,0.00000299,0.97444121,0.57000000,0.09970000,19.94000000,3.99000000,0.02,0.10
shear_05_veer_06_ctp_01,0.68670000,1.14987938,1.08001522,0.53066987,0.54756494,0.79738596,0.77278268,0.00000880,0.20261404,0.22721732,0.00000880,0.96914508,0.57000000,0.09970000,19.94000000,3.99000000,0.02,0.10
shear_05_veer_06_ctp_02,0.75670000,1.43007137,1.32321158,0.55043589,0.57223044,0.75621837,0.72741627,0.00009690,0.24378163,0.27258373,0.00009690,0.96191299,0.57000000,0.09970000,19.94000000,3.99000000,0.02,0.10
shear_05_veer_06_ctp_03,0.82670000,1.87295353,1.69282984,0.54923525,0.57771714,0.69882320,0.66437070,0.00039310,0.30117680,0.33562930,0.00039310,0.95069925,0.57000000,0.09970000,19.94000000,3.99000000,0.02,0.10
shear_05_veer_06_ctp_04,0.89670000,2.42887685,2.13242419,0.54483877,0.58147889,0.64846536,0.60760430,0.00098078,0.35153464,0.39239570,0.00098078,0.93698805,0.57000000,0.09970000,19.94000000,3.99000000,0.02,0.10
shear_05_veer_06_ctp_05,0.96670000,3.46156388,2.88254764,0.51085942,0.55982119,0.57910540,0.52845704,0.00139134,0.42089460,0.47154296,0.00139134,0.91254034,0.57000000,0.09970000,19.94000000,3.99000000,0.02,0.10
shear_05_veer_07_ctp_00,0.61670000,0.96161620,0.91238541,0.49386703,0.50701611,0.82214384,0.80082217,0.00000550,0.17785616,0.19917783,0.00000550,0.97406577,0.57000000,0.14960000,29.92000000,3.99000000,0.02,0.15
shear_05_veer_07_ctp_01,0.68670000,1.17176884,1.09928299,0.52568986,0.54274498,0.79036695,0.76553059,0.00001060,0.20963305,0.23446941,0.00001060,0.96857617,0.57000000,0.14960000,29.92000000,3.99000000,0.02,0.15
shear_05_veer_07_ctp_02,0.75670000,1.46695569,1.35467697,0.54347191,0.56554573,0.74738434,0.71821318,0.00006421,0.25261566,0.28178682,0.00006421,0.96096899,0.57000000,0.14960000,29.92000000,3.99000000,0.02,0.15
shear_05_veer_07_ctp_03,0.82670000,1.93170930,1.74054700,0.54081785,0.56974304,0.68917750,0.65418877,0.00039955,0.31082250,0.34581123,0.00039955,0.94923117,0.57000000,0.14960000,29.92000000,3.99000000,0.02,0.15
shear_05_veer_07_ctp_04,0.89670000,2.53431080,2.21286750,0.53338502,0.57081194,0.63656958,0.59483107,0.00121381,0.36343042,0.40516893,0.00121381,0.93443214,0.57000000,0.14960000,29.92000000,3.99000000,0.02,0.15
shear_05_veer_07_ctp_05,0.96670000,3.58856448,2.96921907,0.50173824,0.55159009,0.57059077,0.51902166,0.00134710,0.42940923,0.48097834,0.00134710,0.90962156,0.57000000,0.14960000,29.92000000,3.99000000,0.02,0.15
shear_05_veer_08_ctp_00,0.61670000,0.97305687,0.92267090,0.49095514,0.50418220,0.81754857,0.79610044,0.00000943,0.18245143,0.20389956,0.00000943,0.97376531,0.57000000,0.19950000,39.90000000,3.99000000,0.02,0.20
shear_05_veer_08_ctp_01,0.68670000,1.18800919,1.11354854,0.52208435,0.53925725,0.78528798,0.76028010,0.00001638,0.21471202,0.23971990,0.00001638,0.96815452,0.57000000,0.19950000,39.90000000,3.99000000,0.02,0.20
shear_05_veer_08_ctp_02,0.75670000,1.48537826,1.37034578,0.54009116,0.56230315,0.74309918,0.71374542,0.00006184,0.25690082,0.28625458,0.00006184,0.96049819,0.57000000,0.19950000,39.90000000,3.99000000,0.02,0.20
shear_05_veer_08_ctp_03,0.82670000,1.96343020,1.76618270,0.53643138,0.56559309,0.68415760,0.64888276,0.00025406,0.31584240,0.35111724,0.00025406,0.94844047,0.57000000,0.19950000,39.90000000,3.99000000,0.02,0.20
shear_05_veer_08_ctp_04,0.89670000,2.61082224,2.27067595,0.52551135,0.56349903,0.62841422,0.58605035,0.00090026,0.37158578,0.41394965,0.00090026,0.93258608,0.57000000,0.19950000,39.90000000,3.99000000,0.02,0.20
shear_05_veer_08_ctp_05,0.96670000,3.64167259,3.00511706,0.49806627,0.54828565,0.56717250,0.51522320,0.00115467,0.43282750,0.48477680,0.00115467,0.90840653,0.57000000,0.19950000,39.90000000,3.99000000,0.02,0.20
shear_06_veer_04_ctp_00,0.61670000,0.95279969,0.90445033,0.49614671,0.50923537,0.82574245,0.80451875,0.00007382,0.17425755,0.19548125,0.00007382,0.97429743,0.85500000,0.00000000,0.00000000,5.98500000,0.03,0.00
shear_06_veer_04_ctp_01,0.68670000,1.18390057,1.10994191,0.52298948,0.54013267,0.78656279,0.76159820,0.00026750,0.21343721,0.23840180,0.00026750,0.96826116,0.85500000,0.00000000,0.00000000,5.98500000,0.03,0.00
shear_06_veer_04_ctp_02,0.75670000,1.45347497,1.34319142,0.54598640,0.56795856,0.75057296,0.72153614,0.00069663,0.24942704,0.27846386,0.00069663,0.96131380,0.85500000,0.00000000,0.00000000,5.98500000,0.03,0.00
shear_06_veer_04_ctp_03,0.82670000,1.84694963,1.67161437,0.55308818,0.58137166,0.70324381,0.66903131,0.00095731,0.29675619,0.33096869,0.00095731,0.95135044,0.85500000,0.00000000,0.00000000,5.98500000,0.03,0.00
shear_06_veer_04_ctp_04,0.89670000,2.30467198,2.03648181,0.55932753,0.59501852,0.66356476,0.62376216,0.00144990,0.33643524,0.37623784,0.00144990,0.94001700,0.85500000,0.00000000,0.00000000,5.98500000,0.03,0.00
shear_06_veer_04_ctp_05,0.96670000,2.99244499,2.55203701,0.54944534,0.59496867,0.61546360,0.56837213,0.00173933,0.38453640,0.43162787,0.00173933,0.92348617,0.85500000,0.00000000,0.00000000,5.98500000,0.03,0.00
shear_06_veer_05_ctp_00,0.61670000,0.96195666,0.91269168,0.49377963,0.50693103,0.82200589,0.80068044,0.00008394,0.17799411,0.19931956,0.00008394,0.97405682,0.85500000,0.04990000,9.98000000,5.98500000,0.03,0.05
shear_06_veer_05_ctp_01,0.68670000,1.19707173,1.12149811,0.52010435,0.53734263,0.78249983,0.75739675,0.00035641,0.21750017,0.24260325,0.00035641,0.96791938,0.85500000,0.04990000,9.98000000,5.98500000,0.03,0.05
shear_06_veer_05_ctp_02,0.75670000,1.49104491,1.37515909,0.53906389,0.56131821,0.74179755,0.71238785,0.00075129,0.25820245,0.28761215,0.00075129,0.96035347,0.85500000,0.04990000,9.98000000,5.98500000,0.03,0.05
shear_06_veer_05_ctp_03,0.82670000,1.86616460,1.68729680,0.55023338,0.57866360,0.69996807,0.66557806,0.00130186,0.30003193,0.33442194,0.00130186,0.95086917,0.85500000,0.04990000,9.98000000,5.98500000,0.03,0.05
shear_06_veer_05_ctp_04,0.89670000,2.39343608,2.10517845,0.54885780,0.58522962,0.65264817,0.61208631,0.00185829,0.34735183,0.38791369,0.00185829,0.93785034,0.85500000,0.04990000,9.98000000,5.98500000,0.03,0.05
shear_06_veer_05_ctp_05,0.96670000,3.09473582,2.62552144,0.54028858,0.58658343,0.60678953,0.55889995,0.00244287,0.39321047,0.44110005,0.00244287,0.92107712,0.85500000,0.04990000,9.98000000,5.98500000,0.03,0.05
shear_06_veer_06_ctp_00,0.61670000,0.98051426,0.92936838,0.48908458,0.50236223,0.81459742,0.79306725,0.00011672,0.18540258,0.20693275,0.00011672,0.97356957,0.85500000,0.09970000,19.94000000,5.98500000,0.03,0.10
shear_06_veer_06_ctp_01,0.68670000,1.22696138,1.14766143,0.51373023,0.53118240,0.77352905,0.74811451,0.00038122,0.22647095,0.25188549,0.00038122,0.96714468,0.85500000,0.09970000,19.94000000,5.98500000,0.03,0.10
shear_06_veer_06_ctp_02,0.75670000,1.55198198,1.42673283,0.52837500,0.55107952,0.72826685,0.69826220,0.00079853,0.27173315,0.30173780,0.00079853,0.95879992,0.85500000,0.09970000,19.94000000,5.98500000,0.03,0.10
shear_06_veer_06_ctp_03,0.82670000,1.96492979,1.76739244,0.53622664,0.56539949,0.68392342,0.64863511,0.00127001,0.31607658,0.35136489,0.00127001,0.94840313,0.85500000,0.09970000,19.94000000,5.98500000,0.03,0.10
shear_06_veer_06_ctp_04,0.89670000,2.54418731,2.22035645,0.53234872,0.56984849,0.63549514,0.59367539,0.00161492,0.36450486,0.40632461,0.00161492,0.93419343,0.85500000,0.09970000,19.94000000,5.98500000,0.03,0.10
shear_06_veer_06_ctp_05,0.96670000,3.34407235,2.80131586,0.51975628,0.56787995,0.58744176,0.53766037,0.00199826,0.41255824,0.46233963,0.00199826,0.91525731,0.85500000,0.09970000,19.94000000,5.98500000,0.03,0.10
shear_06_veer_07_ctp_00,0.61670000,0.99422121,0.94166437,0.48570146,0.49907160,0.80926155,0.78758142,0.00008654,0.19073845,0.21241858,0.00008654,0.97320999,0.85500000,0.14960000,29.92000000,5.98500000,0.03,0.15
shear_06_veer_07_ctp_01,0.68670000,1.25636268,1.17331426,0.50768351,0.52534354,0.76502627,0.73930903,0.00041390,0.23497373,0.26069097,0.00041390,0.96638384,0.85500000,0.14960000,29.92000000,5.98500000,0.03,0.15
